index,news_id,pos_words,pos_weights,neg_words,neg_weights
1,4381,"[""断章取义"", ""探讨"", ""短"", ""年轻"", ""都"", ""怕"", ""\"""", ""媒体"", ""引用"", ""常配"", ""容易"", ""连"", ""大众""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[""此类"", ""类"", ""白落梅"", ""名句"", ""现在"", ""听懂"", ""常"", ""共鸣"", ""突然"", ""合影"", ""一句"", ""书中"", ""闺蜜"", ""感慨"", ""情感"", ""三年"", ""散文集""]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
2,4325,"[""消息"", ""一子"", ""两人于"", ""2019"", ""，"", ""这"", ""的"", ""判断"", ""曾"", ""此前"", ""类""]","[0.006854, 0.005118, 0.004812, 0.004059, 0.003957, 0.003745, 0.00294, 0.002872, 0.002512, 0.002446, 0.001639]","[""奚梦瑶"", ""均"", ""传怀"", ""赌王"", ""名人"", ""和"", ""何鸿燊"", ""育有"", ""需谨慎"", ""儿子"", ""模特"", ""正式"", ""。"", ""常"", ""君"", ""被"", ""引发"", ""结婚"", ""中国""]","[-0.00573, -0.004675, -0.004605, -0.004162, -0.004107, -0.003952, -0.003914, -0.003802, -0.003726, -0.003662, -0.003185, -0.002829, -0.002398, -0.002121, -0.001993, -0.001977, -0.001607, -0.001554, -0.001243]"
3,6162,"[""古巨基"", ""看起来"", ""这样"", ""夫妻"", ""人"", ""了"", ""下去""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[""Lorraine"", ""太暖心"", ""是"", ""陪伴"", ""基仔"", ""模范"", ""真是"", ""一直"", ""祝福"", ""好吃"", "" "", ""出品"", ""羡慕"", ""和"", ""，"", ""希望"", ""幸福"", ""娱乐圈"", ""20"", ""让"", ""他们"", ""喜饼"", ""很""]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
4,874,"[""讨论"", ""中国"", ""混淆"", ""不同"", ""城市"", ""元"", ""较大"", ""塑料"", ""指"", ""成本"", ""通常"", ""引发"", ""生产"", ""常"", ""主要"", ""的"", ""经济"", ""地区""]","[0.135079, 0.116879, 0.11021, 0.099756, 0.096381, 0.078281, 0.076646, 0.073983, 0.0684, 0.06719, 0.063227, 0.057143, 0.055838, 0.055155, 0.054809, 0.045003, 0.044789, 0.043089]","[""饭盒"", ""，"", ""。"", ""在"", ""存在"", ""概念"", ""套餐"", ""逻辑"", ""价格"", ""和"", ""影响"", ""但""]","[-0.185066, -0.161923, -0.159231, -0.129008, -0.078471, -0.077689, -0.077528, -0.064514, -0.054711, -0.051311, -0.044456, -0.043072]"
5,147,"[""没有"", ""新闻"", ""传谣"", ""报道"", ""消息"", ""满天飞"", ""这种"", ""早就"", ""煽动"", ""目前"", ""官方"", ""，"", ""没"", ""不要"", ""中日关系"", ""帖子"", ""发消息"", ""官媒"", ""一看"", ""中国""]","[3.4e-05, 2.9e-05, 1.9e-05, 1.4e-05, 1.3e-05, 1.3e-05, 1.2e-05, 1.2e-05, 9e-06, 9e-06, 9e-06, 9e-06, 8e-06, 8e-06, 8e-06, 7e-06, 6e-06, 5e-06, 5e-06, 4e-06]","[""情绪"", ""一棍子打死"", ""被"", ""节奏"", ""还是"", ""打仗"", ""冷静"", ""复杂"", ""别"", ""抵制""]","[-1.2e-05, -8e-06, -8e-06, -8e-06, -7e-06, -6e-06, -6e-06, -5e-06, -5e-06, -4e-06]"
6,2323,"[""航空公司"", ""为了"", ""更新"", ""更换"", ""这"", ""官方"", ""航空"", ""好像"", ""以"", ""LOGO"", ""我"", ""每次"", ""改"", ""曾多次"", ""现代"", ""是不是"", ""其"", ""瑞尔"", ""让""]","[0.260305, 0.127123, 0.11941, 0.111205, 0.090783, 0.082657, 0.070829, 0.06889, 0.068059, 0.066886, 0.066012, 0.061916, 0.057913, 0.05107, 0.049212, 0.046505, 0.041969, 0.038648, 0.037758]","[""Ryanair"", ""另一家"", ""，"", ""看起来"", ""爱尔兰"", ""涨价"", ""频繁"", ""知道"", ""的"", ""一波"", ""配合""]","[-0.117772, -0.076151, -0.069157, -0.053367, -0.048323, -0.047975, -0.041533, -0.040041, -0.03207, -0.031272, -0.025742]"
7,3360,"[""中国"", ""主要"", ""相关"", ""不可"", ""会"", ""对"", ""通常""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[""事件"", ""幼儿园"", ""体罚"", ""。"", ""此类"", ""一种"", ""，"", ""叮咬"", ""等"", ""头痛"", ""但"", ""内服"", ""调查"", ""的"", ""涉及"", ""症状"", ""教师"", ""情况"", ""并"", ""风油精"", ""缓解"", ""部门"", ""药物""]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
8,5518,"[""消息"", ""过"", ""缺"", ""我见"", ""40M"", ""不是"", ""（"", ""砍价"", ""这""]","[1e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[""50M"", ""亚伯拉罕"", ""欧冠"", ""烟雾弹"", ""，"", ""英超"", ""巴舒亚"", ""一般"", ""抬价"", ""人"", ""行"", ""”"", ""还"", ""理解"", ""回购"", ""这么"", ""“"", ""更"", ""租借"", ""可能"", ""吗""]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
9,2669,"[""传闻"", ""怀疑"", ""国家"", ""且"", ""不"", ""极低"", ""采用"", ""检定"", ""过程"", ""并"", ""少"", ""经过"", ""的"", ""加油站"", ""±"", ""但"", ""）""]","[0.000265, 8.2e-05, 6.4e-05, 5.8e-05, 5.5e-05, 4.9e-05, 4.7e-05, 4.7e-05, 4.7e-05, 4.6e-05, 3.8e-05, 3e-05, 2.8e-05, 2.7e-05, 2.5e-05, 2.4e-05, 2.2e-05]","[""摄像头"", ""。"", ""加油"", ""干预"", ""投诉"", ""系统"", ""监控"", ""动手脚"", ""误差"", ""查看"", ""可"", ""自动"", ""范围""]","[-8.5e-05, -7.4e-05, -6.9e-05, -5e-05, -4e-05, -3.7e-05, -3.5e-05, -3.5e-05, -3e-05, -2.9e-05, -2.5e-05, -2.5e-05, -2e-05]"
10,1129,"[""2013"", ""年"", ""中国社科院"", ""香港媒体"", ""争议"", ""内地"", ""亿"", ""且"", ""对"", ""几万人"", ""？"", ""调查"", ""的"", ""官方"", ""与"", ""引发"", ""未"", ""数据""]","[0.000178, 0.000122, 0.000121, 0.000119, 0.000118, 0.000115, 7.3e-05, 7.3e-05, 7.2e-05, 6.6e-05, 6.2e-05, 6e-05, 5.9e-05, 5.9e-05, 5.8e-05, 5.3e-05, 4.2e-05, 3.9e-05]","[""投票"", ""节奏"", ""类似"", ""叙事"", ""整体"", ""形成"", ""存在"", ""反映"", ""高"", ""比例"", ""环境"", ""议题""]","[-9e-05, -7.7e-05, -7.3e-05, -6.6e-05, -6.2e-05, -6.1e-05, -5.2e-05, -5e-05, -5e-05, -4.7e-05, -4.5e-05, -4.2e-05]"
