index,news_id,pos_words,pos_weights,neg_words,neg_weights
1,4381,"[""中国"", ""老"", ""但"", ""曾经"", ""人"", ""岁月"", ""静好"", ""那"", ""了"", ""《""]","[0.007865, 0.00592, 0.004382, 0.004003, 0.003255, 0.003226, 0.00307, 0.002362, 0.002344, 0.001989]","[""，"", ""也"", ""越"", ""过"", ""到"", ""—"", ""花好月圆"", ""晚安"", ""安稳"", ""情感"", ""》"", ""做到"", ""我们"", ""越淡"", ""被"", ""幸福"", ""做好"", ""视若无睹"", ""谁"", ""许多""]","[-0.004758, -0.004183, -0.003973, -0.003958, -0.003842, -0.00323, -0.003224, -0.0031, -0.003092, -0.00299, -0.002931, -0.002883, -0.002841, -0.002731, -0.002701, -0.002675, -0.00261, -0.002016, -0.001957, -0.001863]"
2,4325,"[""怀"", ""奚梦瑶怀"", ""君"", ""了""]","[0.025986, 0.009676, 0.002304, 0.001761]","[""即使"", ""啊"", ""又"", ""怎样"", ""否认"", ""何猷"", ""二胎"", ""？""]","[-0.033956, -0.032388, -0.03126, -0.029277, -0.029259, -0.022834, -0.019295, -0.005921]"
3,6162,"[""喜"", ""！"", ""喜饼"", ""两位"", ""是"", ""未来"", ""你"", ""好"", ""味道"", ""年"", ""愿"", ""永久""]","[0.003395, 0.00334, 0.00266, 0.002656, 0.00235, 0.001951, 0.001932, 0.001929, 0.001777, 0.001472, 0.001455, 0.001395]","[""]"", ""20"", ""的"", ""陪伴"", ""基仔"", ""一辈子"", ""爱"", ""你们"", ""["", ""就是"", ""永远"", ""一直"", ""出品"", ""到"", ""幸福"", ""古巨基"", ""互相"", ""更是""]","[-0.002959, -0.002726, -0.002718, -0.002708, -0.00253, -0.002416, -0.00237, -0.002361, -0.002331, -0.002296, -0.002089, -0.002014, -0.001928, -0.00156, -0.001477, -0.001438, -0.001419, -0.00123]"
4,874,"[""块钱"", ""5"", ""是"", ""配错"", ""打错"", ""了"", ""饭盒"", ""不是""]","[0.442334, 0.111372, 0.092461, 0.086254, 0.083985, 0.030601, 0.009289, 0.008783]","[""都"", ""盒饭"", ""，"", ""你们"", ""。"", ""也"", ""配音"", ""字幕"", ""错"", ""的"", "" ""]","[-0.195543, -0.180078, -0.149489, -0.139799, -0.129926, -0.097111, -0.095966, -0.082173, -0.046588, -0.009046, -0.002692]"
5,147,"[""彻底"", ""日本"", ""死"", ""钓鱼岛"", ""中国"", ""已经"", ""掩埋"", ""附近"", ""！"", ""，"", ""封锁消息"", ""人"", ""的"", ""在"", ""同胞们"", ""把"", ""我"", ""了"", ""到"", ""抵制"", ""能""]","[8.1e-05, 6.5e-05, 5.9e-05, 5.7e-05, 5.6e-05, 5.2e-05, 4.9e-05, 4.8e-05, 4.4e-05, 4.3e-05, 4.2e-05, 4.1e-05, 4e-05, 3.9e-05, 3.8e-05, 3.6e-05, 3.3e-05, 2.7e-05, 2.6e-05, 2.5e-05, 2.1e-05]","[""我们"", ""转"", ""他们"", ""开火"", ""做"", ""就是"", ""起来""]","[-0.000104, -6.6e-05, -6.4e-05, -6.3e-05, -5.3e-05, -2.5e-05, -2e-06]"
6,2323,"[""关注"", ""白丁"", ""2008"", ""GayHostel"", ""via"", ""的"", ""）""]","[0.29136, 0.176151, 0.113668, 0.101534, 0.048206, 0.041119, 0.033067]","[""航空公司"", ""今早"", ""公布"", ""」"", ""（"", ""…"", ""LOGO"", ""爱尔兰"", ""新"", ""@"", ""瑞尔"", ""「""]","[-0.195917, -0.162121, -0.147914, -0.071024, -0.057665, -0.053458, -0.04612, -0.02444, -0.022471, -0.012429, -0.006499, -0.000874]"
7,3360,"[""13"", ""某"", ""社会"", ""、"", ""向"", ""喝"", ""已"", ""将"", ""公布"", ""让"", ""老师""]","[0.005013, 0.002759, 0.002552, 0.002271, 0.001979, 0.001772, 0.001527, 0.001494, 0.001349, 0.001193, 0.001139]","[""针对"", ""最新进展"", ""资讯"", ""一事"", ""初步"", ""幼儿园"", ""风油精"", ""巴掌"", ""【"", ""926"", ""官方"", ""回应"", ""。"", ""江西"", ""南昌市"", ""自扇"", ""孩子"", ""】"", ""及时""]","[-0.005435, -0.004513, -0.00449, -0.004403, -0.004014, -0.003619, -0.003179, -0.002949, -0.002946, -0.002484, -0.002057, -0.00202, -0.001833, -0.001708, -0.001689, -0.001613, -0.001538, -0.001501, -0.001461]"
8,5518,"[""次"", ""浮动"", ""哲科"", ""可"", ""#"", ""的"", ""结束""]","[0.000289, 0.000252, 0.000215, 0.000208, 0.00019, 0.000187, 0.000128]","[""给"", ""。"", ""梅开二度"", ""出场"", ""埃梅尔松"", ""有意"", ""攻入"", ""条款"", ""迪马"", ""伊"", ""至"", ""另外"", ""曾效力"", ""将"", ""12"", ""，"", ""租借"", ""26"", ""客场"", ""曼城"", ""延续"", ""交易"", ""球""]","[-0.000207, -0.000203, -0.000187, -0.000187, -0.000183, -0.000178, -0.000164, -0.000162, -0.000162, -0.000155, -0.000148, -0.000142, -0.000138, -0.000137, -0.000134, -0.000133, -0.00013, -0.000129, -0.000129, -0.000122, -0.000118, -0.000101, -8.8e-05]"
9,2669,"[""注意"", ""！"", ""时"", ""员"", ""加油"", ""了"", ""转"", "" "", ""你"", ""朋友"", ""要"", ""有车""]","[0.460239, 0.07282, 0.051737, 0.049454, 0.048406, 0.035613, 0.030762, 0.027392, 0.026208, 0.013566, 0.01087, 0.007079]","[""..."", ""小动作"", ""这个"", ""["", ""]"", ""啊"", ""的""]","[-0.182918, -0.115263, -0.077429, -0.071447, -0.042264, -0.013366, -5.2e-05]"
10,1129,"[""人"", ""的"", ""4"", ""5"", ""是"", ""结果"", ""中国"", ""有来生"", ""愿"", ""竟然"", ""日晚"", ""了"", ""2013"", ""调查"", ""年"", ""不"", ""在"", "" "", ""你""]","[0.004474, 0.00413, 0.003879, 0.003613, 0.003197, 0.003196, 0.003168, 0.003032, 0.003021, 0.002734, 0.002627, 0.002534, 0.002426, 0.002421, 0.0023, 0.002233, 0.002114, 0.002102, 0.001694]","[""》"", ""《"", ""如果"", ""时"", ""做"", ""18"", ""高达"", ""89896"", ""明报"", ""网民"", ""，""]","[-0.006359, -0.004957, -0.003859, -0.003378, -0.002846, -0.002797, -0.002775, -0.002323, -0.002281, -0.0021, -0.001903]"
